_id,chapter,question,answer,bookmark,bookinAll,bookTime,rese
1,1,abandonment ,the act of discontinuing emergency care without ensuring that another health care professional with equivalent or better training will take over,0,0,,
2,1,abandonment ,leaving a patient after care has been initiated and before the patient has been transferred to someone with equal or greater medical training,0,0,,
3,1,Abandonment:,When care is discontinued without the patient’s consent and without ensuring that care is continued at the same or higher level,0,0,,
4,1,Acquired Immune Deficiency Syndrome (AIDS):,A disease caused by the HIV virus that destroys the immune system’s ability to protect the body;  usually transmitted through direct contact with bodily fluids,0,0,,
5,1,Advanced directive:,A written document some patients use to state what care they want to receive or refuse should they become unable to express their wishes in the future,0,0,,
6,1,Assault:,Occurs when someone threatens or attempts offensive physical contact with another person or makes a person fear such contact,0,0,,
7,1,Bacteria:,Single-celled organisms that have the capability of reproducing on their own within a host; typically referred to as infections,0,0,,
8,1,Battery:,Occurs when a person is touched offensively without consent,0,0,,
9,1,Body substance isolation (BSI):,Any measure taken to prevent EMTs from coming into contact with body fluids,0,0,,
10,1,burnout ,"a condition resulting from chronic job stress, characterized by a state of irritability and fatigue that can markedly decrease effectiveness",0,0,,
11,1,Burnout:,"A condition resulting from chronic job stress, characterized by a state of irritability and fatigue that can markedly decrease effectiveness",0,0,,
12,1,chain of survival ,"a series of five interventions, or links, identified by the American Heart Association as those that provide the best chance for successful resuscitation of a cardiac arrest patient",0,0,,
13,1,Chief complaint:,Illness or injury for which the emergency medical system was activated,0,0,,
14,1,communication ,a dynamic process that incorporates verbal and nonverbal expressions into meaningful messages that are received and interpreted by others,0,0,,
15,1,Defamation:,False communication that injures another person’s reputation,0,0,,
16,1,defusing ,a session held prior to a critical incident stress debriefing for emergency service personnel most directly involved to provide an opportunity to vent emotions and get info,0,0,,
17,1,Duty to act:,EMTs legal responsibility to provide emergency medical care when called upon or presented with the opportunity to do so.,0,0,,
18,1,Emergency move:,"Used when there is an immediate danger to the patient or crew members if the patient is not moved, or when lifesaving care cannot be given because of the patient’s location",0,0,,
19,1,Ergonomics:,How an EMT’s environment interacts with the human body,0,0,,
20,1,Examples of advanced directives:,"Living wills, Durable Power of Attorney, Do Not Resuscitate Order",0,0,,
21,1,Examples of BSI:,"Hand-washing, Eye protection, Gloves, Gowns, Masks, Reporting exposures",0,0,,
