id,question,chapter,rightanswer,wronganswer1,wronganswer2,wronganswer3,wronganswer4,explanation,bookmark,bookinComp,bookTime,rese,wronganswer5
1,Which federal agency has developed standards for training and development of the EMS system?,1,National Highway Traffic Safety Administration,The Department of Homeland Security,The Department of Public Health,The National Institutes of Health,,The NHTSA develops standards for training and development of the EMS systems. ,,,,,
2,"Currently, the national EMS Education and Practice Blueprint and National Registry of EMTs recognize how many levels of EMS providers?",1,4,2,1,3,,"There are four levels of EMS providers; First Responder, EMT – Basic, EMT – Intermediate, and EMT – Paramedic. ",,,,,
3,Which of the options below is a role or responsibility of an EMT-Basic?,1,Patient Assessment,Crime Investigation,Fire Suppression,Rescue Operations,,"While EMTs may be involved in additional areas, the primary responsibility of an EMT-Basic is patient assessment. ",,,,,
4,"In order to maintain proficiency in the field, EMTs should:",1,All of the answers are correct,Attend Conferences,Read professional journals,Attend continuing education sessions,Practice calls and skills regularly ,All of the answers will assist any EMT in maintaining proficiency. ,,,,,
5,"Maintaining a patient’s dignity, their rights to privacy, and respecting their wishes are examples of which role of the EMT-Basic?",1,Patient advocacy,Patient confidentiality,Patient recognition,Patient assessment,,Treating patients with respect and treating all patients equally is a part of an EMT’s job. This responsibility is termed “patient advocacy”. ,,,,,
6,Another term for ‘medical direction’ is:,1,Medical control,Quality improvement,Medical oversight,Medical advocacy,Patient advocacy,"Medical control, or medical direction, are the terms given to the physicians who supervise EMTs and paramedics. ",,,,,
7,"When an EMT consults directly, either through phone or radio, with a doctor from his or her home hospital, that is called:",1,Online medical control,Offline medical control,Doctor consultation,Patient advocacy,A hospital consult,Online medical control occurs when an EMT consults directly with a doctor at their home hospital pertaining to a specific call or patient.,,,,,
8,"When a doctor assists EMTs with standing orders and protocols, provides initial and continuing education, and participates in quality control, it is called:",1,Offline medical control,Online medical control,Quality assurance,Quality improvement,,Offline medical control allows for EMTs to function without the direct and explicit direction of a physician on every call. This comes through the development of protocols and training that is specific to different departments and districts.,,,,,
9,The physician that assumes ultimate responsibility for patient care in every aspect of the EMS system is:,1,The Medical Director,The ER doctor who receives the patient,EMS Director,A physician does not take ultimate responsibility; the EMT does,None of these answers are correct,"Every EMT must function under a physician’s license. That physician is called the Medical Director in EMS systems, and is ultimately responsible for what happens on medical calls.",,,,,
10,"The list of steps, such as assessments and interventions, to be taken in different situations developed by a Medical Director are:",1,Protocols,Procedures,Standing orders,None of these are correct,,Protocols are lists of steps and interventions to be taken in different situations.  All EMS systems utilize them and it is the EMT’s responsibility to know and understand them.,,,,,
11,Which of the following is NOT a part of an EMS system as identified by the ‘Technical Assistance Program Assessment Standards’ provided by the National Highway Traffic Safety Administration?,1,Equipment,Protocols ,Resource management,Communications,,"The ten standards are regulation and policy, resource management, human resources and training, transportation, facilities, communications, public information and education, medical direction, trauma systems, and evaluation. Equipment is not one of these.",,,,,
12,Safety at an emergency scene is the responsibility of the:,1,Individual EMT,Incident Commander,Highest ranking member on scene,Safety officer on scene,,"Everyone involved with any emergency scene is responsible for maintaining safety. Whether a responder is on his first job or has been there for years, safety is everyone’s responsibility.",,,,,
13,"You arrive on the scene of a shooting at a bar. Police called you in, stated that the scene has been secured and that there are multiple shooting victims. The first victim you see is lying on the floor with a spurting wound coming from a brachial artery on one arm, and is still holding a gun in the other arm.  What is the best course of action?",1,Retreat and notify police that there is an injured person with a weapon.,Immediately control the weapon before he hurts any of the bystanders.,Apply strong pressure to the bleeding arm. The patient has an arterial bleed and could die soon.,"Ask the patient to drop his weapon so you can help him.  Otherwise, he will bleed out.",,"Although police attempted to control this scene, they missed the man on the floor with a gun. The best thing to do in this situation is to retreat and notify police. The arterial bleed could easily lead to death, so time is of the essence for this man, but putting your life or the lives of those around you at risk is not worth attempting any of the other options.",,,,,
14,"You’ve arrived at the home of a terminally ill patient. The patient is silent, uninterested, and despairing. This patient is most likely in what emotional stage?",1,Depression,Bargaining,Acceptance,Denial,Anger,"This patient is most likely in the stage of depression, which is the stage where someone can lose motivation toward some of the most basic functions.",,,,,
15,"You arrive on scene of a shooting, and are directed toward a man who has been shot in the leg, where his wound is spurting bright red blood. To properly prepare for this call, what BSI precautions do you NOT need to take? ",1,HEPA respirator,All of the answers should be taken,Glasses or goggles,Latex or rubber gloves,,"A HEPA respirator or filter is not necessary for this call. Respiratory diseases, which a HEPA filter helps protect from, are not transmitted through contact with blood, but through airborne methods.",,,,,
16,A legal right to function as an EMT is contingent on:,1,Acquiring medical direction,Obtaining insurance to work under,Demonstrating mastery of skills through national registry,Acting ethically,,An EMT must function under a physician’s license. Acquiring medical direction is a basic necessity.,,,,,
17, You arrive on scene and find a 50 year-old man lying on a street corner. You introduce yourself and ask the patient if you can “check him out”. The patient responds by mumbling something that you cannot understand. What is the best course of action?,1,Begin treatment immediately based on implied consent.,Begin treatment immediately based on expressed consent.,Try to find more information about the patient before initiating treatment.,Contact the police and wait for them to initiate treatment.,,"Treatment for this patient will be based on implied consent, because expressed consent is based on being informed.  At this point, it is impossible for you to be certain that this patient is informed of his situation or needs.",,,,,
